"X","species_name","species_code","family","habitat","guild","year","proportion_in_east","mean_longitude","mean_latitude","CEI_ssp2_2050","LEI_ssp2_2050","CEI_ssp5_2050","LEI_ssp5_2050","CEI_ssp2_2080","LEI_ssp2_2080","CEI_ssp5_2080","LEI_ssp5_2080"
137,"Summer Tanager","sumtan","Cardinalidae","Open Woodlands","Foliage Gleaner",2022,0.295,-84.952,34.404,2.603,0.323,3.033,0.247,2.433,0.378,3.27,0.386
138,"White-throated Sparrow","whtspa","Passerellidae","Forests","Ground Forager",2022,0.303,-81.697,39.462,2.395,0.323,3.044,0.292,2.425,0.379,4.001,0.414
139,"Wild Turkey","wiltur","Phasianidae","Open Woodlands","Ground Forager",2022,0.303,-82.166,40.164,2.642,0.274,3.429,0.241,2.746,0.321,4.487,0.347
140,"Cedar Waxwing","cedwax","Bombycillidae","Open Woodlands","Foliage Gleaner",2022,0.303,-82.785,38.256,2.56,0.31,3.197,0.272,2.56,0.359,4.043,0.382
141,"Eastern Meadowlark","easmea","Icteridae","Grasslands","Ground Forager",2022,0.304,-84.557,36.054,2.646,0.37,3.18,0.305,2.577,0.447,3.752,0.465
142,"Baltimore Oriole","balori","Icteridae","Open Woodlands","Foliage Gleaner",2022,0.304,-83.245,41.057,2.703,0.325,3.425,0.32,2.742,0.376,4.591,0.43
143,"American Crow","amecro","Corvidae","Generalist","Generalist",2022,0.305,-81.391,39.541,2.509,0.334,3.214,0.306,2.576,0.387,4.304,0.422
144,"American Redstart","amered","Parulidae","Forests","Foliage Gleaner",2022,0.305,-82.45,39.537,2.532,0.271,3.211,0.248,2.571,0.314,4.23,0.343
145,"Common Yellowthroat","comyel","Parulidae","Scrub","Foliage Gleaner",2022,0.322,-81.89,39.514,2.622,0.279,3.358,0.256,2.676,0.324,4.401,0.357
146,"American Robin","amerob","Turdidae","Generalist","Ground Forager",2022,0.323,-83.77,37.116,2.769,0.343,3.376,0.278,2.676,0.411,3.801,0.426
147,"Yellow-bellied Sapsucker","yebsap","Picidae","Forests","Bark Forager",2022,0.325,-81.381,39.817,2.647,0.236,3.408,0.206,2.702,0.271,4.434,0.288
148,"Blue-headed Vireo","buhvir","Vireonidae","Forests","Foliage Gleaner",2022,0.33,-79.849,39.312,2.51,0.216,3.293,0.193,2.639,0.245,4.402,0.262
149,"Yellow-billed Cuckoo","yebcuc","Cuculidae","Forests","Foliage Gleaner",2022,0.332,-83.684,36.762,2.551,0.314,3.074,0.26,2.449,0.368,3.724,0.389
150,"Bay-breasted Warbler","babwar","Parulidae","Forests","Foliage Gleaner",2022,0.338,-81.979,39.873,2.61,0.284,3.346,0.256,2.692,0.333,4.525,0.359
151,"Blue-gray Gnatcatcher","buggna","Polioptilidae","Forests","Foliage Gleaner",2022,0.338,-83.436,35.584,2.43,0.34,2.907,0.288,2.357,0.402,3.471,0.429
152,"Red-eyed Vireo","reevir1","Vireonidae","Forests","Foliage Gleaner",2022,0.342,-81.558,39.602,2.552,0.228,3.266,0.193,2.609,0.262,4.382,0.278
153,"Seaside Sparrow","seaspa","Passerellidae","Marshes","Ground Forager",2022,0.345,-77.681,36.047,1.724,0.244,1.981,0.175,1.46,0.346,1.737,0.294
154,"Henslow's Sparrow","henspa","Passerellidae","Grasslands","Ground Forager",2022,0.356,-86.367,39.696,3.214,0.343,3.91,0.307,3.081,0.394,4.937,0.423
155,"American Goldfinch","amegfi","Fringillidae","Open Woodlands","Foliage Gleaner",2022,0.363,-82.916,39.286,2.657,0.289,3.332,0.26,2.664,0.334,4.298,0.362
156,"Ovenbird","ovenbi1","Parulidae","Forests","Ground Forager",2022,0.364,-79.478,41.453,2.501,0.177,3.329,0.16,2.649,0.202,4.726,0.222
157,"Red-headed Woodpecker","rehwoo","Picidae","Forests","Bark Forager",2022,0.367,-84.92,36.139,2.756,0.314,3.252,0.265,2.606,0.363,3.798,0.384
158,"Bobolink","boboli","Icteridae","Grasslands","Ground Forager",2022,0.37,-80.577,34.598,2.191,0.336,2.672,0.31,2.2,0.408,3.501,0.46
159,"Song Sparrow","sonspa","Passerellidae","Open Woodlands","Ground Forager",2022,0.373,-81.79,39.326,2.476,0.328,3.116,0.293,2.495,0.386,4.032,0.418
160,"Palm Warbler","palwar","Parulidae","Open Woodlands","Ground Forager",2022,0.378,-82.82,36.259,2.396,0.321,2.945,0.295,2.406,0.377,3.747,0.411
161,"Chestnut-sided Warbler","chswar","Parulidae","Open Woodlands","Foliage Gleaner",2022,0.384,-81.549,41.041,2.646,0.23,3.455,0.207,2.758,0.262,4.817,0.282
162,"Veery","veery","Turdidae","Forests","Ground Forager",2022,0.389,-79.513,41.533,2.498,0.215,3.358,0.202,2.665,0.245,4.691,0.274
